Timestamp,Age,Gender,Country of birth,Country of residence,Native language(s),Rate on the scale below,Rate on the scale below,Rate on the scale below,Rate the following voice on the scale below,Rate on the scale below,Rate on the scale below,Rate on the scale below,Rate on the scale below,Rate on the scale below,Rate on the scale below,Rate on the scale below,Rate on the scale below,Rate on the scale below,Rate on the scale below,Rate on the scale below
10/28/2020 14:10:30,31,Male,United States of America,United States of America,English,5,3,4,2,2,2,4,2,2,3,2,2,3,5,2
10/28/2020 14:19:22,29,Male,UK,UK,English,5,3,3,6,6,2,2,2,1,2,4,5,1,6,1
10/28/2020 14:42:10,36,female,USA,Germany,English,5,6,3,6,5,5,2,3,1,3,3,1,4,1,1
10/28/2020 15:25:26,27,Male,080193,Danmark,Dansk,5,4,4,7,7,6,1,4,5,4,6,2,7,3,6
10/28/2020 16:08:07,24,Kvinde ,Danmark,Danmark ,Dansk ,6,5,2,2,2,5,1,4,4,3,3,4,3,5,1
10/28/2020 16:39:10,21,Female,Switzerland    ,Denmark,Danish,6,6,3,7,7,4,3,3,3,1,3,1,4,4,1
10/28/2020 16:49:43,53,male,Argentina,Denmark,Spanish,5,4,5,6,6,7,2,1,1,2,4,1,2,2,1
10/28/2020 17:16:56,29,Woman,Denmark ,Denmark,Danish,4,3,2,3,3,3,1,1,1,1,2,2,2,1,1
10/28/2020 17:23:39,23,Female,Venezuela,Denmark,"Spanish, Portuguese",6,2,6,4,4,7,2,1,2,4,1,4,3,4,1
10/28/2020 17:36:36,31,Female,Argentina,Argentina,Spanish,3,6,5,3,3,7,4,2,1,3,3,1,2,1,1
10/28/2020 17:40:43,36,male,Argentina,Argentina,Spanish,4,3,4,5,5,7,1,4,1,4,1,2,4,3,1
10/28/2020 18:07:11,36,male,Argentina,Argentina,Spanish,3,2,2,5,6,2,1,3,2,4,2,1,5,3,1
10/28/2020 18:22:21,39,Male,Argentina,Argentina,Spanish,6,2,4,2,2,3,3,2,3,5,2,5,4,5,2
10/28/2020 18:48:54,20,Female,Germany ,Denmark,German,5,6,4,5,5,4,1,2,1,3,4,1,4,3,1
10/28/2020 20:12:31,48,Female,Sweden,Denmark,Danish,2,5,4,2,2,5,2,1,1,1,2,2,2,5,1
10/28/2020 20:27:13,21,"who knows? not me, that's for sure",Denmark,Denmark,Danish,6,7,4,3,2,1,2,1,1,1,1,1,4,1,2
10/28/2020 20:29:35,21,Male,Denmark,Denmark,Danish,6,7,3,1,2,5,2,3,1,5,2,2,5,2,2
10/28/2020 22:01:58,25,Female,Denmark,Nicaragua,Danish,5,4,2,3,3,5,1,2,1,4,2,5,3,5,2
10/28/2020 22:37:40,28,Male,Denmark,Denmark ,Danish,5,3,3,6,6,1,2,2,1,3,6,2,5,1,1
10/28/2020 22:58:09,22,Female,Denmark,Denmark,Danish,5,4,3,4,4,2,3,2,3,3,4,5,5,3,1
10/29/2020 0:39:08,32,Male,Australia,Australia,English,5,3,3,6,6,5,2,4,3,4,4,3,5,5,1
10/29/2020 3:06:56,37,Male,Argentina,Japan,Spanish,6,5,4,6,6,5,4,4,4,5,2,5,3,6,2
10/29/2020 8:43:39,22,Female,Denmark,Denmark,Danish,6,5,3,3,4,3,4,2,2,3,2,3,1,4,2
10/29/2020 12:44:15,55,Woman,Argentina,Denmark,"Spanish, danish",7,7,1,4,5,6,1,1,4,5,2,1,1,7,1
10/29/2020 13:07:50,30,Male,Denmark,Denmark,Danish,5,6,4,5,5,6,2,2,1,1,2,2,1,3,1
10/29/2020 13:08:13,19,Female,Denmark,Denmark,Danish,6,5,4,5,6,6,3,3,1,3,4,4,2,4,1
10/29/2020 13:11:07,27,Male,Denmark,Denmark,Danish,7,3,6,7,7,7,1,1,1,1,4,2,3,5,5
10/29/2020 13:14:12,19,male,Denmark,Denmark,"Dansk, engelsk og arabisk",7,7,7,4,4,7,1,1,1,1,4,5,5,5,1
10/29/2020 13:14:13,19,Non-binary,Denmark,Denmark,Danish,6,6,2,1,1,1,1,4,1,1,2,4,3,1,1
10/29/2020 13:15:23,33,Nonbinary,Denmark,Denmark,Danish,6,7,4,6,7,3,2,1,1,2,1,4,1,3,1
10/29/2020 13:19:17,23,Female,Denmark,Denmark,Danish,7,6,5,7,7,5,1,1,1,3,5,3,2,5,2
10/29/2020 13:22:45,21,female,Denmark,Denmark,Danish,6,6,3,6,6,5,1,2,1,3,2,4,3,4,2
10/29/2020 14:57:11,33,female,argentina,deutschland,castellano,5,4,2,7,7,3,4,3,1,2,4,4,5,4,1
10/29/2020 16:34:01,38,Male,Argentina,Argentina,Spanish,7,4,3,5,6,6,1,1,1,5,1,1,4,2,5
10/29/2020 17:24:22,54,Male,Canada,Canada,English,5,5,3,4,4,3,2,2,1,3,2,1,2,5,2
10/29/2020 17:26:47,23,Female,Denmark,Denmark,Danish,6,5,4,2,2,5,2,3,2,5,3,5,4,2,2
10/29/2020 18:12:56,26,Hankøn,Danmark,Danmark,Dansk,6,6,2,4,4,6,2,4,1,5,1,1,2,6,1
10/29/2020 18:41:29,27,Female,Denmark,Denmark,Danish,4,6,2,1,1,1,1,3,1,1,4,4,3,3,1
10/29/2020 22:58:25,25,man,Denmark,Denmark,Danish,7,5,2,5,5,1,1,1,1,6,4,5,4,5,1
10/30/2020 12:34:48,23,female ,Denmark ,Denmark ,Danish ,6,6,2,1,1,2,1,2,1,3,5,2,3,4,1
10/30/2020 15:28:17,23,Female,Italy,Denmark,Italian,3,5,3,1,1,5,1,1,1,1,3,2,2,5,1
10/30/2020 16:33:21,22,Non-binary,Denmark,Denmark,Danish,7,7,4,5,5,4,2,3,3,4,3,3,4,3,2
10/31/2020 21:15:02,23,Female,Berlin,Berlin,German,5,1,2,5,6,7,1,3,4,2,2,5,3,6,1
10/31/2020 21:55:47,23,Female ,Argentina,Argentina,Spanish,2,1,2,6,7,6,1,3,1,3,1,6,5,1,1
11/1/2020 12:03:49,23,M,1996,Denmark,Dansk,7,7,4,7,7,4,4,5,4,4,3,1,4,4,1
11/2/2020 9:39:08,22,female,Denmark,Denmark,Danish,5,5,4,5,5,4,2,3,1,1,1,4,3,5,2
11/2/2020 11:37:25,22,Female,Denmark,Denmark,Danish,6,7,1,4,4,1,2,1,2,3,4,2,5,1,1
11/3/2020 11:44:11,40,Female,Czechoslovakia,Denmark,"Czech, Slovak",4,4,5,6,5,6,1,1,1,1,1,2,4,3,1
11/5/2020 9:50:54,22,Woman,Denmark,Denmark,Danish,6,7,5,7,7,5,3,2,2,2,2,1,2,2,1
11/5/2020 14:49:31,38,male,England,England,English,5,1,4,5,5,4,2,2,2,3,3,2,4,4,2
11/6/2020 10:45:15,23,Female,Berlin,Berlin,German,5,1,1,6,6,3,2,3,2,4,2,4,4,5,2
11/7/2020 5:47:18,36,Male,United States,United States,English,5,5,4,5,5,2,3,3,2,5,1,2,4,4,1
11/7/2020 5:52:04,30,Female,Usa,Usa,English,4,5,2,3,2,6,2,3,1,3,4,2,1,6,1
11/9/2020 17:59:26,21,Kvinde,Danmark,Danmark,Dansk,6,7,4,5,5,6,4,3,1,3,2,4,4,4,1
11/9/2020 20:46:26,27,Kvinde,Danmark,Danmark,Dansk,6,5,4,2,2,4,1,2,1,1,4,2,5,4,1
11/11/2020 12:07:45,22,Male,Denmark,Denmark,Danish,3,5,3,6,6,4,1,2,1,1,4,4,4,5,3